Food_id,Food,Measure,Grams,Calories,Protein,Fat,Carbs
1,Cows' milk,1 qt.,976,660,32,40,48
2,Milk skim,1 qt.,984,360,36,,52
3,Buttermilk,1 cup,246,127,9,5,13
4,"Evaporated, undiluted",1 cup,252,345,16,20,24
5,Fortified milk,6 cups,800,750,89,42,119
6,Powdered milk,1 cup,103,515,27,28,39
7,"skim, instant",1 1/3 cups,85,290,30,,42
8,"skim, non-instant",2/3 cup,85,290,30,,42
9,Goats' milk,1 cup,244,165,8,10,11
10,(1/2 cup ice cream),2 cups,540,690,24,24,70
11,Cocoa,1 cup,252,235,8,11,26
12,skim. milk,1 cup,250,128,18,4,13
13,(cornstarch),1 cup,248,275,9,10,40
14,Custard,1 cup,248,285,13,14,28
15,Ice cream,1 cup,188,300,6,18,29
16,Ice milk,1 cup,190,275,9,10,32
17,Cream or half-and-half,1/2 cup,120,170,4,15,5
18,or whipping,1/2 cup,119,430,2,44,3
19,Cheese,1 cup,225,240,30,11,6
20,uncreamed,1 cup,225,195,38,,6
21,Cheddar,1-in. cube,17,70,4,6,
22,"Cheddar, grated cup",1/2 cup,56,226,14,19,1
23,Cream cheese,1 oz.,28,105,2,11,1
24,Processed cheese,1 oz.,28,105,7,9,
25,Roquefort type,1 oz.,28,105,6,9,
26,Swiss,1 oz.,28,105,7,8,
27,Eggs raw,2,100,150,12,12,
28,Eggs Scrambled or fried,2,128,220,13,16,1
29,Yolks,2,34,120,6,10,
30,Butter,1T.,14,100,,11,
31,Butter,1/2 cup,112,113,114,115,118
32,Butter,1/4 lb.,112,113,114,115,118
33,Hydrogenated cooking fat,1/2 cup,100,665,0,100,0
34,Lard,1/2 cup,110,992,0,110,0
35,Margarine,1/2 cup,112,806,,91,
36,"Margarine, 2 pat or",1 T.,14,100,,11,
37,Mayonnaise,1 T.,15,110,,12,
38,Corn oil,1 T.,14,125,0,14,0
39,Olive oil,1T.,14,125,0,14,0
40,Safflower seed oil,1 T.,14,125,0,14,0
41,French dressing,1 T.,15,60,,6,2
42,Thousand Island sauce,1 T.,15,75,,8,1
43,Salt pork,2 oz.,60,470,3,55,0
44,Bacon,2 slices,16,95,4,8,1
45,Beef,3 oz.,85,245,23,16,0
46,Hamburger,3 oz.,85,245,21,17,0
47,Ground lean,3 oz.,85,185,24,10,0
48,Roast beef,3 oz.,85,390,16,36,0
49,Steak,3 oz.,85,330,20,27,0
50,"Steak, lean, as round",3 oz.,85,220,24,12,0
51,Corned beef,3 oz.,85,185,22,10,0
52,Corned beef hash canned,3 oz.,85,120,12,8,6
53,Corned beef hash Dried,2 oz.,56,115,19,4,0
54,Pot-pie,1 pie,227,480,18,28,32
55,Corned beef hash Stew,1 cup,235,185,15,10,15
56,chicken,3 oz.,85,185,23,9,0
57,"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,0
58,Roasted chicken,3 1/2 oz.,100,290,25,20,0
59,"Chicken livers, fried",3 med.,100,140,22,14,2
60,"Duck, domestic",3 1/2 oz.,100,370,16,28,0
61,"Lamb, chop, broiled",4 oz.,115,480,24,35,0
62,Leg roasted,3 oz.,86,314,20,14,0
63,"Shoulder, braised",3 oz.,85,285,18,23,0
64,"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,0
65,Ham pan-broiled,3 oz.,85,290,16,22,0
66,"Ham, as ",2 oz.,57,170,13,13,0
67,"Ham, canned, spiced",2 oz.,57,165,8,14,1
68,Pork roast,3 oz.,85,310,21,24,0
